"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"V1","years","integer","integer",".",".","",""
"V2","lost","integer","factor","0|1|2|3|.","still in power|constitutional exit|natural death|nonconstitutional exit|.","",""
"V3","manner","integer","factor","0|1|.","constitutional ascent|nonconstitutional ascent|.","",""
"V4","start","integer","integer",".",".","",""
"V5","military","integer","factor","0|1|.","no|yes|.","",""
"V6","age","character","numeric",".",".","",""
"V7","conflict","integer","factor","0|1|.","low conflict|medium/high conflict|.","",""
"V8","loginc","numeric","numeric",".",".","",""
"V9","growth","numeric","numeric",".",".","",""
"V10","pop","numeric","numeric",".",".","",""
"V11","land","numeric","numeric",".",".","",""
"V12","literacy","integer","integer",".",".","",""
"V13","region","integer","factor","0|1|2|3|.","middle east|africa|asia|latin america|.","",""
