"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"V1","V1","integer","integer",".",".","",""
"V2","V2","integer","integer",".",".","",""
"V3","V3","integer","integer","0|1|.","0|1|.","",""
"V4","V4","integer","integer",".",".","",""
"V5","V5","integer","integer",".",".","",""
"V6","V6","integer","integer",".",".","",""
"V7","V7","numeric","numeric",".",".","",""
"V8","V8","integer","integer","0|1|.","0|1|.","",""
"V9","V9","integer","integer","0|1|.","0|1|.","",""
"V10","V10","integer","integer","0|1|.","0|1|.","",""
"V11","V11","integer","integer","0|1|.","0|1|.","",""
"V12","V12","integer","integer","0|1|.","0|1|.","",""
"V13","V13","integer","integer","0|1|.","0|1|.","",""
"V14","V14","integer","integer","0|1|.","0|1|.","",""
"V15","V15","integer","integer","1|2|3|.","1|2|3|.","",""
"V16","V16","character","character",".",".","",""
"V17","V17","character","character",".",".","",""
"V18","V18","character","character",".",".","",""
"V19","V19","integer","integer",".",".","",""
"V20","V20","integer","integer","0|1|.","0|1|.","",""
"V21","V21","integer","integer",".",".","",""
"V22","V22","integer","integer","0|1|.","0|1|.","",""
