years lost manner start military age conflict loginc growth pop land literacy region
3 2 1 975 0 53 1 5.7990926545 -5.7 8 1247 20 1
8 0 0 979 0 37 1 5.7990926545 -5.7 8 1247 20 1
3 3 0 960 0 44 1 4.7004803658 1 4 112 11 1
1 3 0 964 0 51 1 4.7004803658 1 4 112 11 1
1 3 1 965 1 56 1 4.7004803658 1 4 112 11 1
0 3 1 967 1 37 1 4.7004803658 1 4 112 11 1
1 3 1 968 0 50 1 4.7004803658 1 4 112 11 1
15 0 1 972 1 39 1 4.7004803658 1 4 112 11 1
13 2 0 966 0 45 0 5.4380793089 8.5 1.2 600 30 1
7 0 0 980 0 55 0 5.4380793089 8.5 1.2 600 30 1
3 3 0 962 0 50 1 4.3820266347 2.1 5.2 28 30 1
0 3 1 966 0 19 1 4.3820266347 2.1 5.2 28 30 1
9 3 1 966 1 26 1 4.3820266347 2.1 5.2 28 30 1
10 3 1 976 1 30 1 4.3820266347 2.1 5.2 28 30 1
0 0 1 987 1 38 1 4.3820266347 2.1 5.2 28 30 1
22 1 0 960 0 36 1 5.5214609179 2.7 11 475 65 1
5 0 0 982 0 49 1 5.5214609179 2.7 11 475 65 1
12 0 0 975 0 51 1 5.0751738152 2.4 0.4 4 37 1
5 3 0 960 0 30 0 5.0751738152 0.1 2.7 623 20 1
13 3 1 965 1 44 0 5.0751738152 0.1 2.7 623 20 1
6 0 1 981 1 45 0 5.0751738152 0.1 2.7 623 20 1
15 3 0 960 0 42 1 4.3820266347 -5.8 5 1284 17 1
3 3 1 975 1 43 1 4.3820266347 -5.8 5 1284 17 1
3 3 0 979 0 35 1 4.3820266347 -5.8 5 1284 17 1
5 0 1 982 1 40 1 4.3820266347 -5.8 5 1284 17 1
2 3 0 972 0 53 0 5.1929568509 -0.6 0.43 2.1 15 1
0 1 1 975 0 . 0 5.1929568509 -0.6 0.43 2.1 15 1
2 3 0 976 0 38 0 5.1929568509 -0.6 0.43 2.1 15 1
3 1 0 960 0 43 1 5.8289456176 3.5 2.1 342 80 1
4 3 1 963 0 42 1 5.8289456176 3.5 2.1 342 80 1
8 3 1 968 1 30 1 5.8289456176 3.5 2.1 342 80 1
1 3 1 977 1 38 1 5.8289456176 3.5 2.1 342 80 1
7 0 0 979 1 36 1 5.8289456176 3.5 2.1 342 80 1
9 0 0 977 0 61 1 7.6778635007 -3.6 0.32 22 20 1
10 3 1 968 0 44 1 5.7990926545 -1.3 0.35 28 55 1
8 0 1 979 1 37 1 5.7990926545 -1.3 0.35 28 55 1
2 3 1 974 1 53 1 4.4998096703 0.5 48 1221 35 1
10 0 1 977 1 42 1 4.4998096703 0.5 48 1221 35 1
7 2 0 960 0 58 0 7.1777824162 3.2 1 267 65 1
19 0 1 967 0 32 0 7.1777824162 3.2 1 267 65 1
22 0 0 965 0 41 0 4.8675344505 1.4 0.8 11 12 1
3 3 1 966 1 51 1 5.7037824747 -2.1 14 238 30 1
2 3 0 969 0 56 1 5.7037824747 -2.1 14 238 30 1
1 3 0 970 0 64 1 5.7037824747 -2.1 14 238 30 1
6 3 1 972 1 41 1 5.7037824747 -2.1 14 238 30 1
0 3 1 978 1 41 1 5.7037824747 -2.1 14 238 30 1
2 3 0 979 0 45 1 5.7037824747 -2.1 14 238 30 1
5 0 1 981 1 34 1 5.7037824747 -2.1 14 238 30 1
0 3 0 984 1 61 1 4.7004803658 1.1 7 245 20 1
3 0 1 984 1 61 1 4.7004803658 1.1 7 245 20 1
6 3 1 974 0 43 1 4.9416424226 2.4 1 36 9 1
6 0 1 980 1 41 1 4.9416424226 2.4 1 36 9 1
27 0 0 960 0 55 0 5.9401712527 1 11 322 24 1
14 2 0 963 0 74 1 5.1357984371 2.3 23 583 47 1
9 0 0 978 0 54 1 5.1357984371 2.3 23 583 47 1
19 3 0 966 0 52 0 4.605170186 6.3 1.6 30 65 1
1 0 1 986 1 . 0 4.605170186 6.3 1.6 30 65 1
8 3 0 971 0 58 1 5.7365722975 0.8 2.5 111 20 1
7 0 1 980 1 28 1 5.7365722975 0.8 2.5 111 20 1
11 3 0 960 0 48 1 5.0106352941 -1.2 11 587 53 1
2 3 0 972 1 62 1 5.0106352941 -1.2 11 587 53 1
12 0 0 975 1 39 1 5.0106352941 -1.2 11 587 53 1
23 0 0 964 0 58 1 4.7004803658 2.2 7.7 118 25 1
8 3 0 960 0 45 0 4.248495242 1.2 8.7 1240 10 1
19 0 1 968 1 32 0 4.248495242 1.2 8.7 1240 10 1
17 3 0 960 0 36 1 5.2983173665 0.3 2 1030 17 1
0 3 1 978 1 42 1 5.2983173665 0.3 2 1030 17 1
0 3 1 979 1 36 1 5.2983173665 0.3 2 1030 17 1
4 3 1 980 1 40 1 5.2983173665 0.3 2 1030 17 1
2 0 1 984 1 39 1 5.2983173665 0.3 2 1030 17 1
14 1 0 968 0 68 1 6.0161571597 2.8 1 1.9 79 1
5 0 0 982 0 52 1 6.0161571597 2.8 1 1.9 79 1
11 2 1 975 1 42 1 5.1357984371 0.1 15 801 14 1
0 0 0 986 1 47 1 5.1357984371 0.1 15 801 14 1
13 3 0 960 0 44 0 4.605170186 -1.2 7 1267 8 1
13 0 1 974 1 43 0 4.605170186 -1.2 7 1267 8 1
5 3 0 960 0 48 1 5.3471075307 3.2 112 923 30 1
0 3 1 966 1 42 1 5.3471075307 3.2 112 923 30 1
9 3 1 966 1 32 1 5.3471075307 3.2 112 923 30 1
0 3 1 975 1 38 1 5.3471075307 3.2 112 923 30 1
3 1 1 976 1 39 1 5.3471075307 3.2 112 923 30 1
4 3 0 979 0 54 1 5.3471075307 3.2 112 923 30 1
1 3 1 983 1 41 1 5.3471075307 3.2 112 923 30 1
2 0 1 985 1 44 1 5.3471075307 3.2 112 923 30 1
11 3 0 962 0 38 1 4.248495242 2.3 7 26 37 1
14 0 1 973 1 33 1 4.248495242 2.3 7 26 37 1
12 0 1 975 1 38 0 6.1944053911 -1.3 0.11 1 50 1
20 1 0 960 0 54 1 5.5214609179 -0.5 7.3 196 10 1
