"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"V1","V1","integer","integer",".",".","",""
"V2","V2","integer","integer","0|1|2|3|.","0|1|2|3|.","",""
"V3","V3","integer","integer","0|1|.","0|1|.","",""
"V4","V4","integer","integer",".",".","",""
"V5","V5","integer","integer","0|1|.","0|1|.","",""
"V6","V6","character","character",".",".","",""
"V7","V7","integer","integer","0|1|.","0|1|.","",""
"V8","V8","numeric","numeric",".",".","",""
"V9","V9","numeric","numeric",".",".","",""
"V10","V10","numeric","numeric",".",".","",""
"V11","V11","numeric","numeric",".",".","",""
"V12","V12","integer","integer",".",".","",""
"V13","V13","integer","integer","0|1|2|3|.","0|1|2|3|.","",""
